gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE106557,TRIM59 promotes gliomagenesis by inhibiting TC45 dephosphorylation of STAT3,"Although the oncogenic signalings driven by amplification and mutations of EGF receptor (EGFR) gene play a major role in glioblastoma pathogenesis, the responsible downstream mechanisms remain less clear. Here we demonstrate that tripartite motif-containing protein 59 (TRIM59), acting as a new downstream effector of EGFR signaling, regulates STAT3 activation in glioblastoma. EGFR signaling leads to TRIM59 upregulation through SOX9 that results in enhancing TRIM59 interaction with STAT3 in nucleus, and inhibiting STAT3 association with TC45 (the nuclear form of T cell protein tyrosine phosphatase TC-PTP), thereby maintaining STAT3 phosphorylation and activation and promoting tumorigenesis. Silencing TRIM59 suppresses cell proliferation, migration, and orthotopic xenograft brain tumorigenesis of GBM cells. Moreover, evaluation of GBM patient samples reveals an association among EGFR activation, TRIM59 expression, STAT3 phosphorylation, and poor prognoses. Our study identifies TRIM59 as a new regulator of oncogenic EGFR-STAT3 signaling and a potential therapeutic target for GBM patients with EGFR activation.",4,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE106644,Expression data from CTCL patient skin lesion [Affymetrix],Cutaneous T cell lymphoma (CTCL) can have clinical and histological features resembling benign inflammatory dermatosis (BID) and can be difficult to diagnose especially at the early stage of CTCL. We used microarrays to detail the global alteration of miRNA transcriptome and generate a diagnosis and prognosis signature.,13,Expression profiling by array,synthetic construct; Homo sapiens,,MPS
GSE106646,Expression data from CTCL patient skin lesion,This SuperSeries is composed of the SubSeries listed below.,20,Expression profiling by array,Homo sapiens; synthetic construct,,MPS
GSE106744,In silico characterization of miRNA and long non-coding RNA interplay in multiple myeloma (30 PCL miRNA data sets),"The identification of deregulated microRNAs (miRNAs) and long non-coding RNAs (lncRNAs) in multiple myeloma (MM) has progressively added a further level of complexity to MM biology. In addition, the cross-regulation between lncRNAs and miRNAs has begun to emerge, and theoretical and experimental studies have demonstrated the competing endogenous RNAs (ceRNAs) activity of lncRNAs as natural miRNA decoys in pathophysiological conditions, including cancer. Currently, information concerning lncRNA and miRNA interplay in MM is virtually absent. Herein, we investigated in silico the lncRNA and miRNA relationship in a representative datasets encompassing 95 MM and 30 plasma cell leukemia patients at diagnosis and in four normal controls, whose expression profiles were generated by a custom annotation pipeline to detect specific lncRNAs. We applied target prediction analysis based on miRanda and RNA22 algorithms to 235 lncRNAs and 459 miRNAs selected with a potential pivotal role in the pathology of MM. Among pairs that showed significant correlation between lncRNA and miRNA expression levels, we identified 10 lncRNA-miRNA relationships suggestive of novel ceRNA network with relevance in MM.",34,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE107119,Genome-wide mapping of accessible chromatin in hTert-HME1 cell line treated with control or BRCA2 siRNAs and grown with or without EGF (epithelial growth factor),"Mammary epithelial cell line hTert-HME1 was transfected with Control or BRCA2 siRNAs then passaged four times (12 days), then were grown in mammary epithelial growth medium with or without EGF (epithelial growth factor) for 2 passages (6 days).",12,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE107121,Gene expression profiling by RNA-seq in hTert-HME1 cell line treated with control or BRCA2 siRNAs and grown with or without EGF (epithelial growth factor),"Mammary epithelial cells were treated with control or BRCA2 siRNAs, then allowed to recover for 4 passages, then grown in mammary epithelial growth media supplemented with or without EGF (epithelial growth factor) for 2 passages (6 days).  ",11,Expression profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE107222,Global transcriptional responses to KI-MS2-008 treatment and Myc inactivation via doxycycline addition,"The Myc/Max heterodimer has crucial roles in normal cellular processes such as cell proliferation, metabolism, apoptosis, and differentiation, but its activity is often deregulated in a majority of human cancers. In an effort to explore alternative modes of Myc perturbation, we identified KI-MS2-008 as a small molecule that binds Max and modulates Myc-driven transcription, and in some cellular contexts, KI-MS2-008 treatment leads to a decrease in c-Myc protein levels. As the Myc/Max heterodimer controls many cellular processes, we expected that treatment with this small molecule would cause changes in the transcriptome. We found that treatment with 10 µM KI-MS2-008 resulted in global alterations in the transcriptome, mimicking direct Myc inactivation with doxycycline in P493-6, a B cell line with a Tet-Off system for c-Myc expression. We also discovered enrichment of various Myc target gene sets in the genes downregulated in response to KI-MS2-008 treatment in P493-6 cells. This trend was also observed in ST486 cells, but not in P3HR1 cells, which were chosen as non-engineered B cell lines that were sensitive and insensitive, respectively, toward KI-MS2-008 in cell viability assays.",64,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE107273,Role of CD133 molecule in WNT response and renal repair,"Renal repair after injury is dependent on clonal expansion of proliferation competent cells. In the human kidney, the expression of CD133+ characterizes a population of resident scattered cells with resistance to damage and ability to proliferate. However, the biological function of the CD133 molecule is unknown. We found by RNA sequencing that cells undergoing cisplatin damage lost the CD133 signature and acquired metanephric mesenchymal and regenerative genes such as SNAIL1, KLF4, SOX9 and WNT3. CD133 was reacquired in the recovery phase. Lack of CD133 was specifically correlated with deregulation of the Wnt signalling and E-cadherin pathway and, functionally, limited cell proliferation after injury. By immunoprecipitation, CD133 appeared to form a complex with E-cadherin and β-catenin. In parallel, CD133-Kd cells showed lower β-catenin levels in basal condition and after Wnt pathway activation and reduced TCF/LEF promoter activation in respect to CD133+ cells. Finally, the lack of CD133 impaired generation of nephrospheres while favored senescence. These data indicate that CD133 may act as a permissive factor for beta-catenin signalling, preventing its degradation in the cytoplasm. Therefore, CD133 itself appears to play a functional role in renal tubular repair trough maintenance of proliferative response and control of senescence.",6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE107280,Gene expression profiling by RNA-seq in hTert-HME1 cell line treated with control or BRCA2 siRNAs and grown with or without EGF (epithelial growth factor) II,"Individuals with a single functional copy of the BRCA2 tumor suppressor have elevated risks for breast, ovarian, and other solid tumor malignancies. The exact mechanisms of carcinogenesis due to BRCA2 haploinsufficiency remain unclear, but one possibility is that at-risk cells are subject to acute periods of decreased BRCA2 availability and function (""BRCA2-crisis""), which may contribute to disease. Here, we establish an in vitro model for BRCA2-crisis that demonstrates chromatin remodeling and activation of an NF-κB survival pathway in response to transient BRCA2 depletion. Mechanistically, we identify BRCA2 chromatin binding, histone acetylation, and associated transcriptional activity as critical determinants of the epigenetic response to BRCA2-crisis. These chromatin alterations are reflected in transcriptional profiles of pre-malignant tissues from BRCA2 carriers and, therefore, may reflect natural steps in human disease. By modeling BRCA2-crisis in vitro, we have derived insights into pre-neoplastic molecular alterations that may enhance the development of preventative therapies.",6,Expression profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE107308,Long noncoding RNA ROCR contributes to SOX9 expression and chondrogenic differentiation of human mesenchymal stem cells,"Long non-coding RNAs (lncRNAs) are expressed in a highly tissue-specific manner where they function in various aspects of cell biology, often as key regulators of gene expression. In this study we established a role for lncRNAs in chondrocyte differentiation. Using RNA sequencing we identified a human articular chondrocyte repertoire of lncRNAs from normal hip cartilage donated by neck of femur fracture patients. Of particular interest are lncRNAs upstream of the master chondrocyte transcription factor SOX9 locus. SOX9 is an HMG-box transcription factor which is essential for chondrocyte development by directing the expression of chondrocyte specific genes. Two of these lncRNAs are upregulated during chondrogenic differentiation of MSCs. Depletion of one of these lncRNA, LOC102723505, which we termed ROCR (regulator of chondrogenesis RNA), by RNAi disrupted MSC chondrogenesis, concomitant with reduced cartilage-specific gene expression and incomplete matrix component production, indicating an important role in chondrocyte biology. Specifically, SOX9 induction was significantly ablated in the absence of ROCR, and overexpression of SOX9 rescued the differentiation of MSCs into chondrocytes. Our work sheds further light on chondrocyte specific SOX9 expression and highlights a novel method of chondrocyte gene regulation involving a lncRNA.",6,Non-coding RNA profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
